stream,condition,parity,candidate,mode,expected,completed,r_nrmse,r_coverage95,r_mean_interval_width,clean_EEG_nrmse,clean_EEG_coverage95,clean_EEG_mean_interval_width,clean_HbO_nrmse,clean_HbO_coverage95,clean_HbO_mean_interval_width,clean_HbR_nrmse,clean_HbR_coverage95,clean_HbR_mean_interval_width,mean_log_likelihood
discovery,true_g,0,g0_w-0.25,fNIRS_only,8,8,0.7784397739531157,0.91015625,0.20703203674412946,0.7784397739531157,0.91015625,0.20703203674412946,0.24109466531823723,0.91796875,0.0330847780080146,0.2571120257421713,0.912109375,0.011225958290001593,282.8936858932817
discovery,true_g,1,g0_w-0.25,full,8,8,0.683923607841468,0.884765625,0.154837166228611,0.683923607841468,0.884765625,0.154837166228611,0.20046426256601038,0.8671875,0.03088295364674279,0.22005885672149744,0.921875,0.011044997891505235,329.91231978240353
discovery,true_g,1,g0_w-0.25,EEG_only,8,8,0.6730391794111774,0.923828125,0.17146327569928915,0.6730391794111774,0.923828125,0.17146327569928915,0.7355960682327127,0.689453125,0.10257759056674759,0.7173501524490564,0.783203125,0.03153043657307817,48.296745333143754
discovery,true_g,1,g0_w-0.25,fNIRS_only,8,8,0.9010437023941175,0.884765625,0.20737629608223465,0.9010437023941175,0.884765625,0.20737629608223465,0.20867587856687256,0.876953125,0.03320556735710086,0.22285102266593174,0.927734375,0.011520977992370764,281.79638385211837
discovery,true_g,0,g0_w0.25,full,8,8,0.6399019435607539,0.873046875,0.14391946056632857,0.6399019435607539,0.873046875,0.14391946056632857,0.23562732258865784,0.947265625,0.034112753418301806,0.25012284139488355,0.91796875,0.01134646918454432,331.29816664110444
discovery,true_g,0,g0_w0.25,EEG_only,8,8,0.6518462380540783,0.931640625,0.1722343827523164,0.6518462380540783,0.931640625,0.1722343827523164,0.728523141542738,0.919921875,0.10766860466527217,0.658631603263826,0.947265625,0.03234752459856385,46.18515592339893
discovery,true_g,0,g0_w0.25,fNIRS_only,8,8,0.7995425245439922,0.85546875,0.1773028660518211,0.7995425245439922,0.85546875,0.1773028660518211,0.2514309977162156,0.94140625,0.03683427851112091,0.2661417481780709,0.90625,0.011763223260953807,282.65284983566914
discovery,true_g,1,g0_w0.25,full,8,8,0.6615443718962077,0.859375,0.1432548285051224,0.6615443718962077,0.859375,0.1432548285051224,0.18775945081732232,0.951171875,0.0339293331136172,0.21270362839198517,0.947265625,0.011560728182858096,331.95811055345837
discovery,true_g,1,g0_w0.25,EEG_only,8,8,0.6730391794111774,0.923828125,0.1714632756992893,0.6730391794111774,0.923828125,0.1714632756992893,0.7020853744302713,0.755859375,0.11167613738010781,0.7135101410669414,0.802734375,0.0332335710402354,48.296745333143754
discovery,true_g,1,g0_w0.25,fNIRS_only,8,8,0.7968878157364903,0.8671875,0.1774291914659199,0.7968878157364903,0.8671875,0.1774291914659199,0.20902421757644912,0.939453125,0.03658933466312809,0.215970004503789,0.955078125,0.012056080375609578,282.9318612422608
discovery,true_g,0,g0_w0.5,full,8,8,0.7181700329218221,0.798828125,0.13864397138740553,0.7181700329218221,0.798828125,0.13864397138740553,0.26121835580396086,0.951171875,0.03662797522511732,0.26448734324100576,0.9140625,0.011684192218344446,328.75690997304014
discovery,true_g,0,g0_w0.5,EEG_only,8,8,0.6518462380540782,0.931640625,0.1722343827523165,0.6518462380540782,0.931640625,0.1722343827523165,0.9269996433580047,0.900390625,0.11412163908888662,0.8160801553027397,0.939453125,0.03353498516642015,46.18515592339893
discovery,true_g,0,g0_w0.5,fNIRS_only,8,8,0.8515589577959897,0.796875,0.165350340815061,0.8515589577959897,0.796875,0.165350340815061,0.2629696070149381,0.951171875,0.039110437607921,0.2709836179102725,0.91015625,0.012045130732315031,281.9510742057158
discovery,true_g,1,g0_w0.5,full,8,8,0.7340032984517995,0.802734375,0.13810019539411195,0.7340032984517995,0.802734375,0.13810019539411195,0.20857360529600538,0.939453125,0.03636761850263339,0.21996944957736134,0.947265625,0.011918653345770447,329.1544959421923
